text,intent
is live from sturgis 2006 playing at four o clock at the nearest cinema,SearchScreeningEvent
she me movie times,SearchScreeningEvent
put deep purple on this is jennifer lopez,AddToPlaylist
what is the weather in sint maarten,GetWeather
give 5 points to the deathlord of ixia,RateBook
which films are playing at malco theatres,SearchScreeningEvent
play lorenzo palacios quispe,PlayMusic
add this track to the classical music for smart kids playlist,AddToPlaylist
give five out of 6 to this novel,RateBook
give two out of 6 to a christmas carol,RateBook
show movie schedules,SearchScreeningEvent
find me the picture entitled i’ll take care of you,SearchCreativeWork
give this textbook zero out of 6 points,RateBook
weather for close-by parc national de kolkheti,GetWeather
i d like a table in a smoking room in a taverna on sep  23  2023,BookRestaurant
i give it a rating value of four to 6 to a book called liberalism and the limits of justice,RateBook
add om to my classic punk,AddToPlaylist
rate the current novel 0 of 6,RateBook
book me a table for seven people at a bar with a pool,BookRestaurant
i want to listen to swing music on iheart,PlayMusic
rate this essay a two,RateBook
use netflix to play music,PlayMusic
what will the weather be like 19 minutes from now in nepal,GetWeather
include laarni lozada on endorphin rush playlist,AddToPlaylist
make a reservation for 9 at a brasserie with parking,BookRestaurant
add my track to old school metal playlist,AddToPlaylist
what are the movie schedules for movies around here,SearchScreeningEvent
what s the weather forecast for moss hill,GetWeather
what will the weather be like not far from alabama on may 9  2037,GetWeather
play takes place in your work space by eddie kendricks,PlayMusic
ethiopia ellenton has snow weather at eight pm,GetWeather
find jono and ben,SearchCreativeWork
play top-twenty song from 2015,PlayMusic
i need seating at floating restaurant in tennessee for a group of 9,BookRestaurant
play music on groove shark,PlayMusic
give two stars to current chronicle,RateBook
find the boys in the band,SearchCreativeWork
i d like to find the soundtrack tianjin today evening news,SearchCreativeWork
show the philosophy and phenomenological research saga,SearchCreativeWork
what are the movie schedules,SearchScreeningEvent
wish to hear the album since i saw you last,SearchCreativeWork
what is the closest movie theatre that is playing moment to moment,SearchScreeningEvent
find a novel called east liberty,SearchCreativeWork
where is the chief cook playing,SearchScreeningEvent
